algorithm,suite,problem,dim,num_runs,pop_size,max_iter,fes_per_run_nominal,penalty_factor,feasibility_tol,feasible_rate,ranking_score,best_feasible_obj,mean_feasible_obj,std_feasible_obj,median_feasible_obj,mean_raw_obj,std_raw_obj,best_raw_obj,median_raw_obj,mean_penalized,std_penalized,best_penalized,median_penalized,mean_max_violation,best_max_violation,median_max_violation,elapsed_sec
SCA,Engineering,three_bar_truss,2,30,30,1000,30000,10000000000.0,1e-06,1.0,264.67782598227376,263.9042463311374,264.67782598227376,3.3751016363300423,264.0140367188451,264.67782598227376,3.3751016363300423,263.9042463311374,264.0140367188451,264.67782598227376,3.3751016363300423,263.9042463311374,264.0140367188451,0.0,0.0,0.0,0.9573929309844972
SCA,Engineering,tension_spring,3,30,30,1000,30000,10000000000.0,1e-06,1.0,0.0130186105856283,0.0128162419938625,0.0130186105856283,0.0001338076812425,0.0130384742410062,0.0130186105856283,0.0001338076812425,0.0128162419938625,0.0130384742410062,0.0130186105856283,0.0001338076812425,0.0128162419938625,0.0130384742410062,0.0,0.0,0.0,0.998154640197754
SCA,Engineering,welded_beam,4,30,30,1000,30000,10000000000.0,1e-06,1.0,1.8779636520610303,1.801361086997313,1.8779636520610303,0.0412914028309376,1.8747235888396496,1.8779636520610303,0.0412914028309376,1.801361086997313,1.8747235888396496,1.8779636520610303,0.0412914028309376,1.801361086997313,1.8747235888396496,0.0,0.0,0.0,1.4557452201843262
SCA,Engineering,pressure_vessel,4,30,30,1000,30000,10000000000.0,1e-06,1.0,6826.9572728484445,6292.827619805516,6826.9572728484445,492.00384853219055,6693.18516881315,6826.9572728484445,492.00384853219055,6292.827619805516,6693.18516881315,6826.9572728484445,492.00384853219055,6292.827619805516,6693.18516881315,0.0,0.0,0.0,1.2170462608337402
SCA,Engineering,speed_reducer,7,30,30,1000,30000,10000000000.0,1e-06,1.0,3134.5676724742243,3062.544615082709,3134.5676724742243,38.23701974872829,3140.1419530182484,3134.5676724742243,38.23701974872829,3062.544615082709,3140.1419530182484,3134.5676724742243,38.23701974872829,3062.544615082709,3140.1419530182484,0.0,0.0,0.0,1.4552090167999268
AOA,Engineering,three_bar_truss,2,30,30,1000,30000,10000000000.0,1e-06,1.0,265.8107627385467,263.8986274265304,265.8107627385467,5.67736670731258,263.91900718729573,265.8107627385467,5.67736670731258,263.8986274265304,263.91900718729573,265.8107627385467,5.67736670731258,263.8986274265304,263.91900718729573,0.0,0.0,0.0,0.8285517692565918
AOA,Engineering,tension_spring,3,30,30,1000,30000,10000000000.0,1e-06,1.0,0.013162402661606,0.0127110630346553,0.013162402661606,0.0005190829283756,0.0130467318394726,0.013162402661606,0.0005190829283756,0.0127110630346553,0.0130467318394726,0.013162402661606,0.0005190829283756,0.0127110630346553,0.0130467318394726,0.0,0.0,0.0,0.9082229137420654
AOA,Engineering,welded_beam,4,30,30,1000,30000,10000000000.0,1e-06,1.0,1.804737924350554,1.730381124484805,1.804737924350554,0.1839615674466953,1.742951968154197,1.804737924350554,0.1839615674466953,1.730381124484805,1.742951968154197,1.804737924350554,0.1839615674466953,1.730381124484805,1.742951968154197,0.0,0.0,0.0,1.3960037231445312
AOA,Engineering,pressure_vessel,4,30,30,1000,30000,10000000000.0,1e-06,1.0,6796.429700625391,6064.612894605311,6796.429700625391,704.7804593174538,6533.058084267518,6796.429700625391,704.7804593174538,6064.612894605311,6533.058084267518,6796.429700625391,704.7804593174538,6064.612894605311,6533.058084267518,0.0,0.0,0.0,1.1444153785705566
AOA,Engineering,speed_reducer,7,30,30,1000,30000,10000000000.0,1e-06,1.0,3019.363614836269,2998.2711085296364,3019.363614836269,11.891642131766162,3018.889922434175,3019.363614836269,11.891642131766162,2998.2711085296364,3018.889922434175,3019.363614836269,11.891642131766162,2998.2711085296364,3018.889922434175,0.0,0.0,0.0,1.284536600112915
