algorithm,fn_id,dim,num_runs,pop_size,max_iter,fes_per_run,mean_error,std_error,min_error,median_error,max_error,logscore,elapsed_sec
WOA,1,10,30,30,1000,30000,13941.895324898032,8363.553542910822,7262.467972610134,11437.584431610994,53975.49984007131,4.100226019048771,0.4309597015380859
WOA,2,10,30,30,1000,30000,221.22942124237136,167.11900320471946,35.696969121612085,191.2462230552596,833.7781666514741,2.2372763948281125,0.4176270961761474
WOA,3,10,30,30,1000,30000,45.146318567384846,15.574849754223598,18.018521621713266,42.65441734605975,75.7207522267671,1.6253739835032648,0.437382698059082
WOA,4,10,30,30,1000,30000,49.34972259798182,14.257765340447468,24.30447311057401,48.41802010126543,77.99709557052518,1.6748771225462076,0.4000849723815918
WOA,5,10,30,30,1000,30000,614.0355998258148,326.1129437384048,193.30791725590507,557.3102739526453,1599.0705090923748,2.7270426244217685,0.5175423622131348
WOA,6,10,30,30,1000,30000,248662.38817194948,1200422.796687187,361.82000019167344,4906.683601598991,6700344.992927198,3.8136422456494983,0.6551432609558105
WOA,7,10,30,30,1000,30000,94.10008326440116,36.12494694984236,51.19222262144331,86.70451140123282,180.8198643027704,1.9454961040296268,1.2771198749542236
WOA,8,10,30,30,1000,30000,40.32415614936068,12.883945256055371,28.25698668519499,35.34532835357277,77.31435107700781,1.587971866851868,1.1682627201080322
WOA,9,10,30,30,1000,30000,389.23416618865,42.50500411132128,275.12242821415794,393.7711003182965,465.848795478254,2.58736433561856,1.0698864459991455
WOA,10,10,30,30,1000,30000,566.6321672735401,536.0645637994968,100.72775254927863,289.27129500910337,1777.7386674056506,2.558811963779746,1.082787036895752
WOA,11,10,30,30,1000,30000,521.7835486798499,360.35534023075206,143.0518929791083,304.67724621646744,1281.8760038840103,2.6067632284392586,1.3306832313537598
WOA,12,10,30,30,1000,30000,254.54141334985857,74.12550736939299,172.7557473212487,226.0589237248339,411.448162683243,2.3886902316025056,1.44844651222229
WOA,1,20,30,30,1000,30000,47967.29588409509,17287.99474430547,24673.00531052437,42483.28323402108,90613.82164710252,4.655714520377533,0.4287295341491699
WOA,2,20,30,30,1000,30000,1026.8731549811944,534.77132326599,347.8760312447723,904.2358135814304,2535.9761421624053,2.9512258901627044,0.4209573268890381
WOA,3,20,30,30,1000,30000,75.59885494820544,14.062622554822225,42.64130904781507,76.05798253379362,99.3545885677296,1.8702977524414357,0.4383413791656494
WOA,4,20,30,30,1000,30000,162.57391779603535,18.3312957222282,119.5142631611776,167.92038954868917,191.89904581756264,2.208137128512164,0.4038465023040771
WOA,5,20,30,30,1000,30000,2879.6003044667214,715.7208884805528,1028.4506162858363,2927.90054264495,4457.318197160738,3.443632545751481,0.5212404727935791
WOA,6,20,30,30,1000,30000,339749696.96543294,431378194.1833959,11302143.826386862,181192685.2521298,1734241412.762241,8.202126441805538,0.6568877696990967
WOA,7,20,30,30,1000,30000,243.7769206212934,79.24753491579162,104.41778414477405,224.27237740452915,497.0310439245509,2.3648462881411727,1.2827813625335691
WOA,8,20,30,30,1000,30000,148.447947047105,130.86261702578085,40.3941398408374,82.66287649053402,536.3008030710298,2.03062101795076,1.1787540912628174
WOA,9,20,30,30,1000,30000,504.2448090103391,123.73973824775362,311.29622636086515,472.52535131388777,839.2904550659523,2.690645527723121,1.068159103393555
WOA,10,20,30,30,1000,30000,3367.9982635247297,1124.7333864329953,229.157321811902,3716.055835444402,5573.197430249727,3.470892669219773,1.0825719833374023
WOA,11,20,30,30,1000,30000,4411.399896080103,1129.647581869,2312.438813060913,4466.617590364069,6523.04391160993,3.6289416973386,1.3287575244903564
WOA,12,20,30,30,1000,30000,553.1795028441271,152.37638054657438,341.0853839017018,487.365179060924,979.7382689730612,2.7276388662083586,1.4434683322906494
SCA,1,10,30,30,1000,30000,1132.9430884769613,741.440497520327,365.6344153418022,909.6335860607364,4228.84520178075,2.9914307370875703,0.6640973091125488
SCA,2,10,30,30,1000,30000,67.74119706985738,19.924044880162416,31.050496577235947,64.88214129761292,129.3260160091902,1.8126538350158008,0.6462240219116211
SCA,3,10,30,30,1000,30000,19.77146400213463,4.024927660237649,12.65760868849793,19.116947686240337,29.529354379455867,1.2874197827236726,0.6638689041137695
SCA,4,10,30,30,1000,30000,42.23518659415311,8.101222421295494,27.120282282851008,42.02606381400688,55.97963967658757,1.6173406307616505,0.629051685333252
SCA,5,10,30,30,1000,30000,138.267962704501,93.2246992606434,50.00837623096788,113.96452624586811,519.0242783020426,2.0749831271809818,0.7541651725769043
SCA,6,10,30,30,1000,30000,3563598.533050516,2691742.974432198,192173.44698042524,3174110.831955343,12011627.392376162,6.382295447419478,0.8968846797943115
SCA,7,10,30,30,1000,30000,56.208824705863655,9.00011943106151,30.647979638400106,55.52822807019879,78.68094967554816,1.7437413917773923,1.5507299900054932
